method,path,domain,wire_kind,document_source,runtime_authority,comparison_status,target_task
GET,/auth/oidc/start,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/oidc/url,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/refresh,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/register,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/register-by-invite,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/switch-tenant,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/validate,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/chunker/preview,other,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/chunks/{knowledge_id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/chunks/{knowledge_id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/chunks/{knowledge_id}/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
PUT,/chunks/{knowledge_id}/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/chunks/by-id/{id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/chunks/by-id/{id}/questions,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/datasource/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource/{id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
PUT,/datasource/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource/{id}/logs,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/{id}/pause,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/{id}/resource-ancestors,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource/{id}/resources,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/{id}/resume,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/{id}/sync,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/{id}/validate,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource/logs/{log_id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/datasource/types,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/datasource/validate-credentials,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/evaluation/,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/evaluation/,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/faq/import/progress/{task_id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/im-channels/{id},integration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T18
PUT,/im-channels/{id},integration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T18
POST,/im-channels/{id}/toggle,integration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T18
GET,/im/callback/{channel_id},integration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T18
POST,/im/callback/{channel_id},integration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T18
POST,/initialization/asr/check,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/initialization/config/{kbId},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
PUT,/initialization/config/{kbId},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/embedding/test,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/extract/fabri-tag,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/extract/fabri-text,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/extract/text-relation,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/initialize/{kbId},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/multimodal/test,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/initialization/ollama/download/progress/{taskId},other,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/initialization/ollama/download/tasks,other,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/initialization/ollama/models,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/ollama/models/check,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/ollama/models/download,other,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/initialization/ollama/status,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/remote/check,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/initialization/rerank/check,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/knowledge-bases,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge-bases/{id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/activity,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/duplicate,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge-bases/{id}/faq/entries,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/faq/entries,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/faq/entries,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/faq/entries/{entry_id},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/faq/entries/{entry_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/faq/entries/{entry_id}/similar-questions,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/faq/entries/export,knowledge,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/faq/entries/fields,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/faq/entries/tags,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/faq/entry,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/faq/import/last-result/display,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/faq/search,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/hybrid-search,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/hybrid-search,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge-bases/{id}/knowledge,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/knowledge,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/knowledge/file,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/knowledge/folders,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/knowledge/folders,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/knowledge/manual,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/knowledge/url,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/move-targets,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/pin,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/shares,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/shares,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge-bases/{id}/shares/{share_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/shares/{share_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/{id}/tags,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/{id}/tags,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge-bases/{id}/tags/{tag_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge-bases/{id}/tags/{tag_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-bases/copy,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge-bases/copy/progress/{task_id},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-chat/{session_id},knowledge,sse-or-event,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge-search,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledge/{id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/{id},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge/{id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/{id}/cancel-parse,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/{id}/download,knowledge,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/{id}/preview,knowledge,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/{id}/reparse,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/batch,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/batch-delete,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/batch-reparse,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/folder,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge/image/{id}/{chunk_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge/manual/{id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledge/move,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/move/progress/{task_id},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledge/search,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledge/tags,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledgebase/{kb_id}/wiki/auto-fix,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/folders,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledgebase/{kb_id}/wiki/folders,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledgebase/{kb_id}/wiki/folders/{folder_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledgebase/{kb_id}/wiki/folders/{folder_id},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/graph,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/index,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/issues,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledgebase/{kb_id}/wiki/issues/{issue_id}/status,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/lint,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledgebase/{kb_id}/wiki/move-page,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/pages,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledgebase/{kb_id}/wiki/pages,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
DELETE,/knowledgebase/{kb_id}/wiki/pages/{slug},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/pages/{slug},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
PUT,/knowledgebase/{kb_id}/wiki/pages/{slug},knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledgebase/{kb_id}/wiki/rebuild-links,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
POST,/knowledgebase/{kb_id}/wiki/revert,knowledge,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/revisions/{slug},knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/search,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/knowledgebase/{kb_id}/wiki/stats,knowledge,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T06-T09
GET,/mcp-services,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
POST,/mcp-services,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
DELETE,/mcp-services/{id},configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/{id},configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
PUT,/mcp-services/{id},configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
PUT,/mcp-services/{id}/credentials,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
DELETE,/mcp-services/{id}/credentials/{field},configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/{id}/metadata,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
POST,/mcp-services/{id}/metadata/refresh,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
POST,/mcp-services/{id}/oauth/authorize-url,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/{id}/oauth/status,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
DELETE,/mcp-services/{id}/oauth/token,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/{id}/resources,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
POST,/mcp-services/{id}/test,configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
PUT,/mcp-services/{id}/tool-approvals/{tool_name},configuration,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/{id}/tools,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/mcp-services/oauth/callback,configuration,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T15/T17
GET,/me/env-vars,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
DELETE,/me/env-vars/sandbox,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
PUT,/me/env-vars/sandbox,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
DELETE,/me/env-vars/skill,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
PUT,/me/env-vars/skill,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/me/invitations,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/me/invitations/{inv_id}/accept,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/me/invitations/{inv_id}/decline,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/me/invitations/accept-by-token,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/me/invitations/pending-count,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/memory/consolidate,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/memory/documents,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
DELETE,/memory/documents/{id},identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/memory/export,identity,blob-or-file,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
DELETE,/memory/items,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/memory/items,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/memory/items,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
DELETE,/memory/items/{id},identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
PUT,/memory/items/{id},identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/memory/items/{id}/confirm,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
